"Dataset","Scenario","q","Year","F","F_95_lo","F_95_hi","F_base","F_base_StdDev","F_base_95_lo","F_base_95_hi"
"WEE","S1",0.6,1964,0,NA,NA,0,NA,NA,NA
"WEE","S1",0.6,1965,0.0180123400546115,0.0106459389295391,0.0253787411796839,0.0178723232152409,0.00345786707062647,0.011094903756813,0.0246497426736688
"WEE","S1",0.6,1966,0.0177422304331278,0.01047574748462,0.0250087133816356,0.0176156620706556,0.00340724986941471,0.0109374523266028,0.0242938718147084
"WEE","S1",0.6,1967,0.0134699495066193,0.00786002697452292,0.0190798720387157,0.0134282096733893,0.00261382585199644,0.00830511100347628,0.0185513083433023
"WEE","S1",0.6,1968,0.0108260054528882,0.00615282295408985,0.0154991879516866,0.0108503067447284,0.00215403253391936,0.00662840297824645,0.0150722105112103
"WEE","S1",0.6,1969,0.00858331392694401,0.00469340025505785,0.0124732275988302,0.00863183436702435,0.00179541654144358,0.00511281794579493,0.0121508507882538
"WEE","S1",0.6,1970,0.00761676295905191,0.00412017229948541,0.0111133536186184,0.00768248007644511,0.00162356355687267,0.00450029550497468,0.0108646646479155
"WEE","S1",0.6,1971,0.0272381084718252,0.0144684986021445,0.0400077183415059,0.0275584986359022,0.0059382470356563,0.0159195344460159,0.0391974628257886
"WEE","S1",0.6,1972,0.0305254052435771,0.015956857067611,0.0450939534195432,0.0309609722800714,0.00679497611397988,0.0176428190966708,0.044279125463472
"WEE","S1",0.6,1973,0.0411144499058622,0.0212469673109335,0.0609819325007909,0.0417219323773009,0.00929531788719428,0.0235031093184001,0.0599407554362017
"WEE","S1",0.6,1974,0.0438461009766592,0.0224443266752849,0.0652478752780335,0.0444085461440451,0.0100311572238673,0.0247474779852652,0.064069614302825
"WEE","S1",0.6,1975,0.0272743914725087,0.0138814683160161,0.0406673146290013,0.0275226616273924,0.0062767466004065,0.0152202382905957,0.0398250849641891
"WEE","S1",0.6,1976,0.0274185306863939,0.0138982055599223,0.0409388558128655,0.027564411124758,0.00632840775287645,0.0151607319291202,0.0399680903203958
"WEE","S1",0.6,1977,0.0288487403980832,0.0145103874721686,0.0431870933239978,0.0289439667704854,0.00670127535787539,0.0158094670690496,0.0420784664719212
"WEE","S1",0.6,1978,0.0220399095926698,0.0110381451974056,0.033041673987934,0.0221037544031832,0.00514073085401396,0.0120279219293158,0.0321795868770506
"WEE","S1",0.6,1979,0.021470426475442,0.0107870033212555,0.0321538496296285,0.0215811753486989,0.00500224379728234,0.0117767775060255,0.0313855731913723
"WEE","S1",0.6,1980,0.0277133934537464,0.0138746997287541,0.0415520871787387,0.0280318617814115,0.00649338775100787,0.0153048217894361,0.0407589017733869
"WEE","S1",0.6,1981,0.0378147026210513,0.018999044837504,0.0566303604045986,0.0386882869170077,0.00889737090598815,0.0212494399412709,0.0561271338927445
"WEE","S1",0.6,1982,0.021981400690894,0.0113355756849775,0.0326272256968105,0.0227096142254105,0.00510170592943482,0.0127102706037183,0.0327089578471027
"WEE","S1",0.6,1983,0.0218171388552385,0.0119675920130814,0.0316666856973956,0.0226764492162027,0.00480699083073201,0.013254747187968,0.0320981512444374
"WEE","S1",0.6,1984,0.0252567881365438,0.0141039069581755,0.0364096693149121,0.0261912940243509,0.00545013507440257,0.0155090292785219,0.0368735587701799
"WEE","S1",0.6,1985,0.0237254140032828,0.0133952384975562,0.0340555895090094,0.0246247373214143,0.00507115515776582,0.0146852732121933,0.0345642014306353
"WEE","S1",0.6,1986,0.0250852897998089,0.0143998379379767,0.0357707416616411,0.0259921348804036,0.00526853951952933,0.0156657974221261,0.0363184723386811
"WEE","S1",0.6,1987,0.0222828264825984,0.0129062210011061,0.0316594319640907,0.0230489391495962,0.00463299528780661,0.0139682683854952,0.0321296099136972
"WEE","S1",0.6,1988,0.0243567394944552,0.014100975570279,0.0346125034186314,0.0251331750891519,0.00505476281898235,0.0152258399639465,0.0350405102143573
"WEE","S1",0.6,1989,0.0235676476961676,0.0136850162241073,0.0334502791682279,0.0242470295905803,0.0048686394562619,0.014704496256307,0.0337895629248536
"WEE","S1",0.6,1990,0.0265920461795243,0.0154854866719879,0.0376986056870607,0.0273142336662853,0.00547544107141779,0.0165823691663064,0.0380460981662642
"WEE","S1",0.6,1991,0.0235352276118786,0.0136577401186515,0.0334127151051057,0.0241914550023664,0.0048617533917468,0.0146624183545427,0.0337204916501901
"WEE","S1",0.6,1992,0.0252026982649368,0.0145861641942588,0.0358192323356148,0.0259931777325436,0.00524028353632496,0.0157222220013467,0.0362641334637405
"WEE","S1",0.6,1993,0.0255824524759009,0.0147394390216894,0.0364254659301124,0.0265242230592987,0.0053774603400536,0.0159844007927936,0.0370640453258038
"WEE","S1",0.6,1994,0.025743681613455,0.0147893492199518,0.0366980140069582,0.026772242413586,0.0054614941520817,0.0160677138755059,0.0374767709516661
"WEE","S1",0.6,1995,0.0228227265811405,0.0130327883112772,0.0326126648510038,0.0239096873096576,0.00490879393439337,0.0142884511982466,0.0335309234210686
"WEE","S1",0.6,1996,0.0222595805147575,0.01254670561559,0.031972455413925,0.0235986639542615,0.00488012369626103,0.0140336215095899,0.0331637063989331
"WEE","S1",0.6,1997,0.0206835583166779,0.0113596718133963,0.0300074448199595,0.0220247775544835,0.00469001344539111,0.0128323512015169,0.0312172039074501
"WEE","S1",0.6,1998,0.0205732630657522,0.0115577192822176,0.0295888068492868,0.0219730234313266,0.00458376517125275,0.0129888436956712,0.030957203166982
"WEE","S1",0.6,1999,0.0211449701778838,0.0120635829762399,0.0302263573795277,0.022612820724547,0.00463129994100672,0.0135354728401738,0.0316901686089202
"WEE","S1",0.6,2000,0.0214903972765468,0.0123621953730636,0.03061859918003,0.0229495631494334,0.00464563807952423,0.0138441125135659,0.0320550137853009
"WEE","S1",0.6,2001,0.0240099467582984,0.0140149937983308,0.034004899718266,0.0256104746674028,0.0050911596441437,0.0156318017648811,0.0355891475699245
"WEE","S1",0.6,2002,0.0267600317205253,0.0157718022753935,0.0377482611656571,0.0285109682658181,0.00559531448922683,0.0175441518669335,0.0394777846647027
"WEE","S1",0.6,2003,0.0291137655860822,0.0171769304627073,0.0410506007094571,0.0310081120779889,0.00606839719365247,0.0191140535784301,0.0429021705775477
"WEE","S1",0.6,2004,0.0300078137438475,0.017752853454517,0.042262774033178,0.0319494287607709,0.00623882984738516,0.019721322259896,0.0441775352616458
"WEE","S1",0.6,2005,0.02791350072284,0.0165808846623755,0.0392461167833045,0.0296969611600835,0.00578287839099646,0.0183625195137304,0.0410314028064366
"WEE","S1",0.6,2006,0.0343341451244926,0.0203385453740741,0.0483297448749111,0.0364788573002881,0.00713385620266332,0.022496499143068,0.0504612154575082
"WEE","S1",0.6,2007,0.0382284892501192,0.0225346533833928,0.0539223251168456,0.0405729969882257,0.00799964818166156,0.024893686552169,0.0562523074242824
"WEE","S1",0.6,2008,0.036991452885626,0.0217202341376686,0.0522626716335834,0.0392626057037414,0.00779735457010559,0.0239797907463344,0.0545454206611484
"WEE","S1",0.6,2009,0.034830952004306,0.0204037857646653,0.0492581182439467,0.0370840279557498,0.00739091025691647,0.0225978438521935,0.0515702120593061
"WEE","S1",0.6,2010,0.0328279374935907,0.0192476347577541,0.0464082402294273,0.0349295750618021,0.00694784774703896,0.0213117934776057,0.0485473566459985
"WEE","S1",0.6,2011,0.0362064236271156,0.0212807421349939,0.0511321051192373,0.0385048935687228,0.00764363884407647,0.0235233614343329,0.0534864257031127
"WEE","S1",0.6,2012,0.0361187765842642,0.0212597117423133,0.0509778414262151,0.0382981179688215,0.00760130066369509,0.0233995686679791,0.0531966672696639
"WEE","S1",0.6,2013,0.0377916085774548,0.0222071085263214,0.0533761086285882,0.0401183808890653,0.00797252639537873,0.024492229154123,0.0557445326240076
"WEE","S1",0.6,2014,0.0372232401108707,0.0217769079867619,0.0526695722349795,0.0400069913954125,0.0079659642049406,0.0243937015537289,0.0556202812370961
"WEE","S1",0.6,2015,0.0387397996483316,0.0225198824076198,0.0549597168890434,0.0416889941064406,0.00832554814070387,0.025370919750661,0.0580070684622202
"WEE","S1",0.6,2016,0.0366821518698593,0.0212327118754819,0.0521315918642367,0.0393611314280243,0.00787694870640718,0.0239223119634662,0.0547999508925824
"WEE","S1",0.6,2017,0.0339916473261941,0.0197756088947747,0.0482076857576135,0.036301330511512,0.0072190160039616,0.0221520591437473,0.0504506018792767
"WEE","S1",0.6,2018,0.0341132020423541,0.0197198070681633,0.0485065970165449,0.0364239563948465,0.00729753656350315,0.0221207847303803,0.0507271280593127
"WEE","S1",0.6,2019,0.0319034184008922,0.0182519459228756,0.0455548908789088,0.0338834409705202,0.00688360049741529,0.0203915839955862,0.0473752979454542
"WEE","S1",0.6,2020,0.0267718375474834,0.0152011636146902,0.0383425114802766,0.0281924260826179,0.00581176245113366,0.0168013716783959,0.0395834804868399
"WEE","S1",0.6,2021,0.0301719347494925,0.0168736474382515,0.0434702220607335,0.0316531642203999,0.00668851760464677,0.0185436697152922,0.0447626587255076
"WEE","S1",0.6,2022,0.0298568717439011,0.0164006865567639,0.0433130569310383,0.0311174232202576,0.0067603995788883,0.0178670400456365,0.0443678063948787
"WEE","S1",0.6,2023,0.027567719473778,0.0148683843102347,0.0402670546373213,0.0279139341742449,0.00624008165241424,0.015683374135513,0.0401444942129768
"WEE","S1",0.8,1961,0,NA,NA,0,NA,NA,NA
"WEE","S1",0.8,1962,0.0139286023714216,NA,NA,0.013784549048816,NA,NA,NA
"WEE","S1",0.8,1963,0,NA,NA,0,NA,NA,NA
